name,code,long,gclat,gdlat,height,map
"Alder Springs Observatory, Auberry",G53,240.58727,36.885624,37.07051,1411.0203,http://www.openstreetmap.org?zoom=17&lon=240.58727&lat=37.07051
Bakersfield,G55,241.09534,35.189297,35.370747,167.71577,http://www.openstreetmap.org?zoom=17&lon=241.09534&lat=35.370747
Walnut Creek,G56,237.9294,37.737675,37.924103,41.30809,http://www.openstreetmap.org?zoom=17&lon=237.9294&lat=37.924103
"Dilbert Observatory, Forest Grove",G57,236.8564,45.340084,45.532486,73.139824,http://www.openstreetmap.org?zoom=17&lon=236.8564&lat=45.532486
"Chabot Space and Science Center, Oakland",G58,237.818,37.633087,37.81933,450.33322,http://www.openstreetmap.org?zoom=17&lon=237.818&lat=37.81933
"Maiden Lane Obs., Bainbridge Island",G59,237.453,47.470123,47.661774,85.637054,http://www.openstreetmap.org?zoom=17&lon=237.453&lat=47.661774
"Carroll Observatory, Montecito",G60,240.33888,34.26911,34.448406,181.68948,http://www.openstreetmap.org?zoom=17&lon=240.33888&lat=34.448406
Pleasanton,G61,238.1524,37.46996,37.65593,124.60655,http://www.openstreetmap.org?zoom=17&lon=238.1524&lat=37.65593
"Sunriver Nature Center Observatory, Sunriver",G62,238.5469,43.684155,43.876366,1248.1129,http://www.openstreetmap.org?zoom=17&lon=238.5469&lat=43.876366
"Mill Creek Observatory, The Dalles",G63,238.6858,45.356716,45.54911,225.88745,http://www.openstreetmap.org?zoom=17&lon=238.6858&lat=45.54911
Blue Canyon Observatory,G64,239.2911,39.085762,39.274185,1516.3833,http://www.openstreetmap.org?zoom=17&lon=239.2911&lat=39.274185
"Vulcan North, Lick Observatory, Mount Hamilton",G65,238.3612,37.15713,37.34252,1247.819,http://www.openstreetmap.org?zoom=17&lon=238.3612&lat=37.34252
"Lake Forest Observatory, Forest Hills",G66,238.9169,38.52452,38.712185,236.86424,http://www.openstreetmap.org?zoom=17&lon=238.9169&lat=38.712185
"Rancho Del Sol, Camino",G67,239.365,38.533405,38.721058,945.07104,http://www.openstreetmap.org?zoom=17&lon=239.365&lat=38.721058
"Sierra Stars Observatory, Markleeville",G68,240.225,38.62389,38.811657,1661.0475,http://www.openstreetmap.org?zoom=17&lon=240.225&lat=38.811657
"Via Capote Sky Observatory, Thousand Oaks",G69,241.0158,33.991028,34.169636,282.7981,http://www.openstreetmap.org?zoom=17&lon=241.0158&lat=34.169636
"Francisquito Observatory, Los Angeles",G70,241.4547,34.283882,34.463207,426.5469,http://www.openstreetmap.org?zoom=17&lon=241.4547&lat=34.463207
Rancho Palos Verdes,G71,241.6047,33.59399,33.771587,296.56714,http://www.openstreetmap.org?zoom=17&lon=241.6047&lat=33.771587
University Hills,G72,241.82408,33.885853,34.0642,147.89969,http://www.openstreetmap.org?zoom=17&lon=241.82408&lat=34.0642
Mount Wilson-TIE,G73,241.94,34.034702,34.21338,1652.0542,http://www.openstreetmap.org?zoom=17&lon=241.94&lat=34.21338
"Boulder Knolls Observatory, Escondido",G74,242.88538,33.048878,33.225025,472.9325,http://www.openstreetmap.org?zoom=17&lon=242.88538&lat=33.225025
